;Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
1;Yemen, Rep.;YEM;Internally displaced persons, new displacement associated with conflict and violence (number of cases);VC.IDP.NWCV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150000;176000;175000;132000;20000;100000;2175000;478000;160000;252000;398000;143000;377000;276000
1;Yemen, Rep.;YEM;Export volume index (2015 = 100);TX.QTY.MRCH.XD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1856,6694893631;1749,270894293;1706,0577227356;1658,8382050604;1410,5700499637;1398,9581968675;1386,6897357628;1188,3726633571;1065,1341166385;1272,0338468783;1070,0840203341;886,4765370975;881,385346238;911,2314315624;323,3589752776;100;85,9490956915;76,4184835747;87,292717735;106,3530833518;77,268537606;78,9170842117;
1;Yemen, Rep.;YEM;Import unit value index (2015 = 100);TM.UVI.MRCH.XD.WD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76,6483154664;76,6483154664;78,3516113657;82,8937337637;84,5970296629;91,4102132599;91,4102132599;99,9266927562;49,9633463781;51,0988769776;56,7765299751;55,7080454116;55,3312412083;59,4452874314;65,622482369;73,9352008917999;81,241061238;90,7987024387;107,6496770391;93,1640273258;101,6079220597;123,5720323728;121,9597260295;120,2417754833;117,082576286;100;98,1954568427;101,3498812474;108,0825401114;105,4195357073;107,1721585448;125,5732830984;
1;Yemen, Rep.;YEM;Population, female (% of total population);SP.POP.TOTL.FE.ZS;50,0901675592007;50,1335123651683;50,1861164886208;50,2516724267119;50,307584632436;50,3464485416327;50,3806737813542;50,4120593955981;50,4367314190019;50,4488250715727;50,4499893111922;50,4420007642156;50,4277606125972;50,4106509048044;50,38951847857;50,3648771834106;50,3386850006516;50,3087857931224;50,2732754200927;50,2352604887998;50,1959057192998;50,1555287721145;50,1141680169104;50,0746332732627;50,0378751980931;50,0009604130428;49,9884784226411;49,9756578854058;49,9398897478195;49,9039259461473;49,8676909165906;49,8336517857021;49,8011018742088;49,7683854340729;49,7396961687106;49,7124975137144;49,6844590626186;49,6581939893555;49,6330701273099;49,6089828774126;49,5856500990407;49,5627618355452;49,54005851179;49,5183343991884;49,4972798969933;49,4774812668888;49,460983366428;49,4463671151668;49,4311287357146;49,4173038082341;49,4058263787029;49,3947544337506;49,3844674779093;49,3744441613961;49,3648900325525;49,365689286693;49,37434587864;49,3830322301546;49,4033860364717;49,428680174412;49,4456828614357;49,4614867707765;49,4809686219512
1;Yemen, Rep.;YEM;Life expectancy at birth, female (years);SP.DYN.LE00.FE.IN;36,218;36,736;36,708;36,568;37,667;38,249;39,057;39,891;40,71;42,157;43,153;43,934;44,91;45,724;46,658;47,554;48,647;49,526;50,576;51,643;52,872;53,892;54,439;56,128;57,101;57,718;58,214;59,071;59,76;60,139;60,57;61,054;61,32;61,701;61,876;62,3;62,433;62,999;63,283;63,921;64,552;65,166;65,855;66,514;66,849;67,411;68,028;68,584;68,867;69,317;69,397;69,49;69,414;69,528;69,442;68,899;68,941;68,962;68,601;68,627;67,885;67,134;
1;Yemen, Rep.;YEM;Mortality rate, adult, male (per 1,000 male adults);SP.DYN.AMRT.MA;477,746;480,147;519,342;545,885;508,366;503,386;500,67;498,639;488,107;457,16;448,436;430,899;426,415;418,009;409,746;403,209;398,768;387,692;378,028;373,939;361,268;352,983;347,267;334,292;324,87;317,039;427,312;303,854;297,54;292,574;287,02;287,426;281,454;274,982;289,574;268,755;269,447;262,168;262,117;255,63;249,175;242,066;234,373;227,823;221,636;216,518;215,974;208,757;202,85;205,897;205,852;202,989;204,186;198,582;202,947;251,912;245,338;250,734;298,319;277,88;277,098;294,032;
1;Yemen, Rep.;YEM;Industry (including construction), value added (annual % growth);NV.IND.TOTL.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,62060889929742;1,42540386442826;11,1713267443142;15,7465091299678;2,6597567243447;2,03596311902874;2,98210464624988;-0,472478460540771;5,13949097098481;7,67450390175422;2,09901920479238;2,60348358298243;1,56416437741773;1,25413998675204;4,0363731519037;-0,0786015217254601;-1,39601229245986;0,676509381781059;2,06449158989098;16,7770853605515;-13,2427377248269;-1,58884234188208;36,9776254996626;-8,19601303721672;-22,6533021788849;-35,5561485909479;-8,20261383776979;-5,22925350511557;;;;
1;Yemen, Rep.;YEM;Number of maternal deaths;SH.MMR.DTHS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2100;2000;1800;1700;1700;1600;1500;1400;1400;1400;1400;1400;1500;1400;1500;1600;1700;1800;1700;1800;1900;;
1;Yemen, Rep.;YEM;Number of neonatal deaths;SH.DTH.NMRT;;;;;27520;27839;28227;28460;28541;28469;28500;28576;28719;28760;28838;29092;29165;29322;29293;29644;29664;29558;29474;29380;29166;29117;29129;29217;29363;29401;29549;29703;29930;30162;30136;30057;28888;28847;28506;28444;27928;27198;26723;26565;26231;25924;25758;25288;24991;24817;24985;25475;25984;26526;27028;27395;27648;27838;28165;28404;28518;28554;
1;Yemen, Rep.;YEM;Number of infant deaths;SH.DTH.IMRT;;;;;84830;84795;84430;83783;82653;81145;79810;78746;77842;76801;75685;74726;73606;72191;70474;69098;67885;66168;64424;62881;61508;60445;59735;59191;58866;58607;58447;58492;58630;58841;58740;58240;56427;54647;53538;52337;50949;49015;47203;45919;44790;43596;42631;41571;40514;39839;39756;40340;41214;41857;42745;44141;44482;44748;45720;46121;45737;46745;
1;Yemen, Rep.;YEM;Number of deaths ages 10-14 years;SH.DTH.1014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2393;2404;2410;2413;2418;2413;2403;2391;2374;2350;2317;2279;2240;2197;2149;2095;2023;1941;1860;1791;1730;1707;1699;1634;1647;1857;1824;1799;1966;1991;1728;2009;
1;Yemen, Rep.;YEM;Armed forces personnel (% of total labor force);MS.MIL.TOTL.TF.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,37153504215606;4,22006965440952;2,05290266001654;1,97483078168739;2,04957293137941;1,97267770420053;3,04557540436812;3,81290147207186;3,40269114673687;3,25664176916646;3,19814390333581;2,85529415286416;3,08272196445046;3,02567842593894;2,94693842350495;2,91731874730333;2,83479900658783;2,75069714226486;2,66851064619726;2,58724979286992;2,51124734693729;2,47017076242116;2,42909859304284;2,38683519327047;0,339969191991822;0,324991980822873;0,312330902097536;0,60131305725748;0,290084365235942;0,560357429590038;0,548269210050981;;
1;Yemen, Rep.;YEM;Battle-related deaths (number of people);VC.BTL.DETH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1489;;;;;;;;;;;;;;21;94;175;1140;2331;582;1780;7032;2946;3039;4517;2583;6289;23350;2896
1;Yemen, Rep.;YEM;GDP per capita growth (annual %);NY.GDP.PCAP.KD.ZG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,31027534192793;4,17490070909274;0,155848610355761;2,84421031421149;2,05919416078768;1,41683448095165;2,19046113384155;2,99983091642382;0,874332587488141;3,25131820615718;1,01242308813474;1,20109617449282;1,03333018303732;1,24163242312947;2,6832871771161;0,138054891330697;0,256559573565468;0,593252192228391;0,837999511386684;4,59294457374919;-15,2217404087924;-0,526827925980271;1,86880828414276;-2,95538929742692;-29,9217612975433;-11,7200183365993;-7,4751131336467;-1,72173475812296;;;;